regex,nl
((([A-Z])(.*))|([0-9]))*,"lines starting with capital letter or number, zero or more times"
\b(.*[AEIOUaeiou].*).*(.).*\b,lines with words that contain vowel before a character
"(((dog)&([A-Za-z])&([AEIOUaeiou]))|(truck)){4,}","The string 'dog', a letter, and a vowel or the string 'truck' appears 4 or more times in the lines"
((dog)&([AEIOUaeiou])&(truck)).*(ring).*,"lines having string 'dog', vowel, and string 'truck' before string 'ring'"
"\b~(([A-Za-z]){2,})\b",lines with two words that don't have a letter
(([0-9])&([A-Z])).*(dog).*,lines with a number and a capital letter before the string 'dog' in them
(([A-Za-z])(.*))|(([A-Z])&(dog)),lines starting in a letter or capital letter and string 'dog'
(.*(dog)&([AEIOUaeiou]).*)*,"lines which are containing the string 'dog' and a vowel, zero or more times"
.*([AEIOUaeiou])&(dog).*,lines having a vowel and the string 'dog'
"([0-9].*..*){2,}",lines where a number is followed by a character at least 2 times
([a-z])*,lines that contain a lower-case letter at least once
((dog)|([A-Za-z])).*(truck).*,lines containing the string 'dog' or a letter followed by the string 'truck'
((dog)|([A-Za-z])).*(truck).*,lines with the string truck after the string 'dog' or a letter
~(([A-Za-z])&([0-9])&([a-z])),lines with no letters or numbers
~(([A-Za-z])&([0-9])&(.)),"lines without a letter, number, or character"
"([a-z].*dog.*){6,}",lines with 6 or more of a lower-case letter before the string 'dog'
(\b(dog)|(.)|([A-Z])\b)+,"lines with words and the string 'dog', character, or capital letter"
"(([A-Za-z])|([AEIOUaeiou])){4,}",lines with a vowel 4 times
.*(~([AEIOUaeiou]))&(dog).*,lines with no vowel and 'dog'
((~([AEIOUaeiou]))|([A-Z]))+,lines with no vowel or capital letter
.*(([a-z])+).*(.).*.*,A lower-case letter appears at least once before a character in the lines
~(([a-z])&((dog)|(truck))),lines without a lower-case letter or string 'dog' or 'truck'
(dog).*(([A-Za-z])|(truck)).*,lines that have the string 'dog' followed by a letter or the string 'truck'
(\b~(.)\b)+,lines with words without a character
\b([A-Z])&(dog)&([AEIOUaeiou])\b,"lines with words with a capital letter, string 'dog', and vowel"
"((dog){2,}).*(truck).*","Items with 'dog', twice or more preceding 'truck'."
"(([0-9]){5,}).*([A-Z]).*",Items with a numeral at least five times preceding a capital letter.
([A-Za-z]).*(([a-z])&([0-9])).*,Items with a letter preceding a small letter and numeral.
(dog).*((truck)|(ring)|([a-z])).*,"lines that have the word 'dog' before either a lower-case letter, he word 'ring', or the word 'truck'"
(([a-z])|([AEIOUaeiou]))(.*),lines beginning with a lower-case letter or a vowel
(([A-Za-z])&(dog)).*(.).*,lines that have a letter and the word 'dog' preceding a character
"(..*[0-9].*){5,}",lines with a character followed by a number occurring 5 or more times
(dog).*(([A-Za-z])&([a-z])&(.)).*,"lines with string 'dog' before letter, lower-case letter, and character"
~((([A-Za-z])|([A-Z]))&([a-z])),lines not having a letter or a capital and not a lower-case letter
(([AEIOUaeiou])|([A-Za-z])).*([0-9]).*,Lines containing a vowel or letter before any number
.*(.)&([a-z])&(dog).*,"lines containing a character, lower-case letter, and string 'dog'"
([A-Z]).*(([a-z])|([0-9])).*,lines with a capital letter before lower-case letter or number
.*(.)&(dog).*,lines with a character and only the string 'dog'
([a-z]).*((dog)|(truck)|([A-Za-z])).*,lines with a lower-case letter before string 'dog' or 'truck' or letter
(([a-z].*[A-Za-z].*)+)(.*),lines starting in a lower-case letter before a letter
(dog).*((truck)&(ring)&([A-Z])).*,lines with the string 'dog' before the strings 'truck' and 'ring' and a capital letter
(.)+,lines with a character
\b([a-z])&([AEIOUaeiou])&([A-Za-z])\b,"lines that have a lower case letter, vowel and letter"
(([A-Z])|(dog)).*([0-9]).*,lines with a number followed by a capital letter or the string 'dog'
"\b((dog)(.*)){4,}\b",Items with words beginning with 'dog' at least four times.
"(.*)(([AEIOUaeiou]){3,})",lines ending with a vowel at least 3 times
([A-Z]).*((.*)([a-z])).*,lines which have a capital letter before ending with a lower-case letter
([A-Z].*[A-Za-z].*).*([AEIOUaeiou]).*,lines with letter followed by vowel
"(([A-Z])|([a-z])){3,}","lines with a capital or lower-case letter, 3 or more times"
(.*)((~(dog))|([0-9])),lines ending with not the string 'dog' or number
"(\b([a-z]){4,}\b).*(dog).*","line with a lower-case letter, 4 times before 'dog'"
(dog.*..*).*(.*[a-z].*).*,"lines with the string 'dog', followed by a character, and then containing a lower-case letter"
(([0-9])&([a-z])).*([AEIOUaeiou]).*,lines containing a number and a lower-case letter followed by a vowel
(([0-9])&([AEIOUaeiou])&([A-Za-z])).*(.).*,"lines with a number, vowel, and letter before a character"
([A-Z]).*(dog.*[0-9].*).*,lines with a capital letter before the string 'dog' then number
(.*)(dog.*[AEIOUaeiou].*),Items terminating with 'dog' preceding a vowel.
"([A-Z]){4,}",lines with 4 or more capital letters
\b([AEIOUaeiou])|(.)\b,Items with words containing a character or a vowel.
"([A-Z].*[0-9].*){3,}","Items with an upper case letter preceding a numeral, at least thrice."
([0-9]).*([a-z].*[AEIOUaeiou].*).*,Items with a numeral preceding a small letter preceding a vowel.
"([A-Z].*[0-9].*){2,}",lines with a number following a capital letter at least 2 times
~((dog)&([A-Z])&([0-9])),"lines which are not having the string 'dog', not a capital letter, and not a number"
((dog)(.*))&(~(truck)),lines starting with the string 'dog' not 'truck'
(~([a-z]))|(.*[A-Z].*),lines not having lower-case letter or containing a capital
.*([A-Z])&([a-z])&([AEIOUaeiou]).*,"lines containing capital letter, lower-case letter, and vowel"
(([0-9])&(dog)).*(truck).*,lines with a number and 'dog' before 'truck'
"~((.*)(([0-9]){5,}))",lines not ending with a number 5 times
"((.*)(([a-z])|([AEIOUaeiou]))){7,}","lines which are ending with a lower-case letter or a vowel, 7 or more times"
(.*)(([A-Za-z])|(.)),lines ending with containing only a letter or a character in them
(.*)(\b[A-Z].*[0-9].*\b),lined ending with words with a capital letter with a number after
((dog)&(.)&([a-z])).*(truck).*,"lines that contain the string 'dog', a character, and a lower-case letter followed by the string 'truck'"
((dog)|([a-z]))+,lines with the string 'dog' or a lower-case letter >= 1 times
~([AEIOUaeiou]),lines without vowel
.*([A-Za-z])|([A-Z])|(.).*,"lines with either a capital letter, a letter, or a character"
"([AEIOUaeiou]).*(([0-9]){5,}).*",lines containing a number after a vowel 5 or more times
(.*[A-Z].*).*([a-z]).*,lines with a capital letter before a lower-case letter
([a-z]).*(dog.*[A-Z].*).*,lines with a lower-case letter followed by the string 'dog' then a capital letter
~(([A-Z])&([AEIOUaeiou])),lines not having a capital letter or a vowel
.*(dog)&([A-Z])&([a-z]).*,"the lines containing a capital letter, the string 'dog', and a lower-case letter"
(.*(dog)&([0-9]).*).*(truck).*,lines containing string 'dog' and number before string 'truck'
([0-9]).*(([A-Za-z])+).*,lines with number before letter at least once
([a-z]).*(([0-9])&(.)&([A-Za-z])).*,"lines with a lower-case letter followed by a number, a character, and a letter"
"(([A-Z])|(.)){7,}",lines with a capital 7 times
((.*)([A-Z]))*,all lines
(([a-z])|([A-Za-z]))+,lines with any type of letter
"([AEIOUaeiou]).*((.){4,}).*",lines with 4 or more of a vowel before a character
(~([AEIOUaeiou]))|((dog)(.*)),Lines without vowels or starting with the string 'dog'
~(([A-Za-z])|([AEIOUaeiou])),lines containing no letter or vowel.
(([AEIOUaeiou])&(.)&([0-9])).*(dog).*,"lines containing the string 'dog' preceded by a vowel, character, and number"
([0-9]).*(.*[a-z].*).*,lines with a number before a lower-case letter
\b(dog)&(.)\b,lines containing words with the string 'dog' and a character
((.*)(dog)).*(.).*,lines ending with 'dog' before a character
"\b(dog.*[A-Za-z].*){7,}\b","Lines with words with the string 'dog' followed by letter, seven or more times"
~((.)|([A-Z])|(dog)),"lines not having a character, a capital, or string 'dog'"
(((dog).*([A-Za-z]).*)|(truck))+,lines with the string 'dog' before a letter or string 'truck'
\b([A-Za-z])|(~([0-9]))\b,lines with words with a letter and no number
\b([A-Za-z])&([AEIOUaeiou])\b,lines with words and a letter and vowel
.*\b(dog)&(.)\b.*,lines containing words with string 'dog' and character
(~(.))|((dog)&([AEIOUaeiou])),lines which aare not having a character or the string 'dog' and a vowel
((dog)+)&(~(.)),lines with the string 'dog' at least once
(dog).*(([AEIOUaeiou])&([0-9])).*,lines that contain the string 'dog' followed by a vowel and a number
((dog)(.*))|(.*truck.*),lines starting in the string 'dog' or with string 'truck'
(([a-z])&([A-Z])&(dog)).*(truck).*,"lines containing a lower-case letter, a capital letter, the string 'dog', and the string 'truck'"
(([a-z])|([AEIOUaeiou]))*,lines that have a vowel or lower-case letter.
([A-Za-z]).*((.)|([a-z])).*,lines with a letter followed by a character or a lower-case letter
"~(([a-z]){3,})","Items without a small letter, thrice at least."
\b([AEIOUaeiou])&(dog)&([A-Za-z])\b,"lines with words with a vowel, the string 'dog', and a letter in them"
(([0-9])|(.))(.*),lines stating with a number or character
"([AEIOUaeiou]).*((dog){4,}).*",lines that have a vowel before a 'dog' string at least four times
\b(.)&([A-Z])&(dog)\b,"lines with words, a character, capital letter, and the string 'dog'"
((dog)*)|(.*[A-Za-z].*),"lines with the string 'dog', zero or more times or containing a letter in them"
\b(dog)|((.*)(.))\b,lines with 'dog' or ending with a character
~(((.*)(dog)).*([A-Z]).*),lines not ending in string 'dog' before a capital letter
"(([a-z])(.*)).*((dog){3,}).*",lines that start with a lower-case letter before 3 or more of the string 'dog'
((.*)((.)*)).*(dog).*,"lines that end with a character before the string 'dog', zero or more times"
\b.*(dog)(.*).*\b,lines with words and starting in string 'dog'
(dog).*((truck)&(ring)&(.)).*,lines with the string 'dog' before string 'truck' and 'ring' and a character
(.*[AEIOUaeiou].*)*,lines containing zero times vowel
\b(.)&([A-Za-z])\b,lines with words that include a letter and a character
((dog)|(truck)).*([A-Za-z]).*,Lines with a letter after the string 'dog' or the string 'truck'
(([A-Z])|(dog)).*([A-Za-z]).*,"lines that have a capital letter or the word ""dog"" in front of a letter"
"([A-Z].*dog.*){3,}",line with 3 or more of a capital letter before the string 'dog'
(((dog)(.*))|([AEIOUaeiou]))+,lines beginning with the string 'dog' or a vowel
([A-Za-z].*dog.*).*(.).*,Lines with a letter followed by the string 'dog' before character
"(([0-9]){4,}).*([a-z]).*",lines with 4 ore more numbers before a lower-case letter
"\b((.){4,})|([0-9])\b",lines with a character 4 times or a number
(([AEIOUaeiou])|(dog)).*([a-z]).*,lines with vowel or string 'dog' before lower-case letter
(((.).*([AEIOUaeiou]).*)|(dog))+,lines with a vowel or 'dog' once
"\b((.)|([A-Za-z])){2,}\b","lines with words that contain a character or a letter, at least twice"
((([AEIOUaeiou])&(dog))|(truck))+,"lines with a vowel, and 1 or more of the string 'dog' or 'truck'"
.*\b[AEIOUaeiou]\b.*,lines with words and only a vowel
((.)&(dog)&([A-Za-z])).*([A-Z]).*,"lines with a character, string 'dog', and letter before a capital letter"
([0-9]).*((dog)|([a-z])|(.)).*,"lines with a number before string 'dog', lower-case letter, or character"
([a-z]).*((.*)([AEIOUaeiou])).*,lower case letters before ending with vowels in the lines
([A-Za-z]).*(([0-9])&(dog)&(truck)).*,"Items with a letter preceding 'truck', a numeral, and 'dog'."
(~(([AEIOUaeiou])*)).*([a-z]).*,lines without a vowel before a lower-case letter
.*([AEIOUaeiou]).*(.).*.*,The lines that have a vowel coming before a character
"~(((dog){2,})&([A-Za-z]))",lines not a letter or the string 'dog' at least twice
(([a-z])|([A-Z])|(.)).*([0-9]).*,lines with a lower-case or capital letter or a character before a number
(~([A-Za-z]))&(.*[A-Z].*),lines not having a letter and containing a capital
((.*)(dog))|((truck)(.*)),lines ending with string 'dog' or starting with string 'truck'
\b([0-9]).*([A-Z]).*\b,lines with words and a number before capital letter
(([AEIOUaeiou].*[A-Z].*)(.*)).*(dog).*,lines with a vowel before a capital letter then string 'dog'
(dog).*(truck.*[AEIOUaeiou].*).*,lines with string 'dog' before 'truck' then a vowel
(..*[A-Za-z].*).*([AEIOUaeiou]).*,lines with a character preceding a letter which precedes a vowel
".*(([0-9]){3,}).*([A-Z]).*.*",lines containing 3 or more numbers before capital letters
.*([A-Za-z])&(.)&([0-9]).*,"lines with a letter, character, and number"
(dog).*((truck)&([a-z])&(.)).*,"lines with the string 'dog' before string 'truck, lower-case letter, and character"
.*([0-9])|(.).*,lines containing either a number or a character
(.*)((dog)|([A-Za-z])),lines which finish with either the 'dog' string or a letter
([0-9]).*((.)&(dog)&([A-Za-z])).*,"lines with a number before a character, the string 'dog', or letter"
((dog)|([A-Za-z])).*([0-9]).*,Items with a numeral after a letter or 'dog'.
.*(dog)&([A-Z]).*,lines with the string 'dog' and a capital letter
.*(([A-Za-z])|([a-z]))*.*,The lines that have either a capital letter or lower-case letter at least once
(([AEIOUaeiou])&(.)&(dog)).*([A-Za-z]).*,"lines containing a letter after a vowel, a character, and the string 'dog'"
"([AEIOUaeiou].*[a-z].*){4,}",lines that have a 4 or more combinations of a vowel followed by a lower-case letter
"((dog)|(truck)).*(([A-Z]){2,}).*","lines with string 'dog' or string 'truck' before a capital, 2 or more times"
~((([A-Za-z])(.*))&([A-Z])),lines not starting with letter and not a capital
((dog)&(truck)&([A-Z])).*([AEIOUaeiou]).*,"lines having string 'dog', string 'truck', and a capital before vowel"
(([A-Za-z])&(dog)&([0-9])).*([AEIOUaeiou]).*,"lines with a letter, 'dog' and number before a vowel"
"([0-9].*dog.*)|((.){3,})","lines with a number followed by the string 'dog' or a character, 3 or more times in them"
(.).*(([a-z])|([A-Za-z])).*,"lines with a character, a lower-case letter or a letter"
((.)(.*))&(~([AEIOUaeiou])),lines ending in a character without vowel
"(((.)|([a-z])){3,})(.*)",lines starting in 3 or more of a character or lower-case letter
"(([a-z]){4,})|((dog)(.*))","A lower-case letter appears 4 or more times, or line starts with the string 'dog'"
(.).*(.*[A-Za-z].*).*,Items with a character preceding a letter.
(([AEIOUaeiou])&(dog)&([0-9])).*(truck).*,"Items with 'dog', a numeral, and a vowel preceding 'truck'."
"((.)|([A-Za-z])){4,}",Items with a letter or character at least four times.
.*(.)&(dog).*,lines containing a character and 'dog'
.*(dog)&([A-Za-z])&([AEIOUaeiou]).*,"lines with the string 'dog', a letter, and a vowel"
(.).*(([a-z].*dog.*)+).*,lines with characters before a lower-case letter then by the string 'dog' at minimum
((.*)([AEIOUaeiou]))|(([0-9])+),"lines that end in a vowel or number, one or more times"
".*((dog){6,})&(.).*",lines with 'dog' 6 times or more then a character
(~([A-Z]))&([a-z].*dog.*),lines not having a capital and lower-case letter followed by string 'dog'
"~((dog){5,})",Lines without the string 'dog' at least 5 times
(([A-Z])|(dog)|(truck)).*(ring).*,"lines having either a capital, string 'dog', or string 'truck' before string 'ring'"
((([0-9])(.*))+).*(dog).*,lines starting with a number before the string 'dog'
"((dog).*(truck).*)|(([a-z]){3,})",lines with 3 or more of the string 'dog' before string 'truck' or lower-case letter
